kusini,"['ku', 'si', 'n', 'i']"
ikiwa,"['i', 'ki', 'w', 'a']"
mwaka,"['m', 'wa', 'k', 'a']"
mikoa,"['m', 'i', 'ko', 'ko', 'a']"
kutokana,"['ku', 'toka', 'toka', 'n', 'a']"
alipokuwa,"['a', 'li', 'po', 'ku', 'w', 'a']"
chama,"['cha', 'cha', 'm', 'a']"
wanawake,"['wa', 'na', 'wa', 'k', 'e']"
mtakuwa,"['m', 'ta', 'ku', 'w', 'a']"
kimekuwa,"['ki', 'me', 'ku', 'w', 'a']"
maoni,"['m', 'a', 'o', 'ni']"
husika,"['hu', 'si', 'si', 'k', 'a']"
tumaini,"['tu', 'm', 'a', 'i', 'ni']"
daima,"['dai', 'dai', 'm', 'a']"
amani,"['a', 'm', 'an', 'i']"
ilikuwa,"['i', 'li', 'ku', 'w', 'a']"
wamekuwa,"['wa', 'me', 'ku', 'w', 'a']"
kutuma,"['ku', 'tu', 'm', 'a']"
mkazi,"['m', 'ka', 'z', 'i']"
iliyokubalika,"['i', 'li', 'yo', 'kubali', 'kubali', 'k', 'a']"
haikuwa,"['ha', 'i', 'ku', 'w', 'a']"
lilikuwa,"['li', 'li', 'ku', 'w', 'a']"
washtakiwa,"['wa', 'shtaki', 'shtaki', 'w', 'a']"
utamwa,"['u', 'ta', 'm', 'w', 'a']"
ilituma,"['i', 'li', 'tu', 'm', 'a']"
wauzwe,"['wa', 'u', 'zw', 'e']"
haina,"['ha', 'i', 'n', 'a']"
hakukuwa,"['ha', 'ku', 'ku', 'w', 'a']"
wanadaiwa,"['wa', 'na', 'dai', 'dai', 'w', 'a']"
kulikuwa,"['ku', 'li', 'ku', 'w', 'a']"
makazi,"['m', 'aka', 'aka', 'z', 'i']"
wanyama,"['wa', 'nya', 'nya', 'm', 'a']"
walikuwa,"['wa', 'li', 'ku', 'w', 'a']"
kuishi,"['ku', 'i', 'sh', 'i']"
tulikuwa,"['tu', 'li', 'ku', 'w', 'a']"
waliokuwa,"['wa', 'li', 'o', 'ku', 'w', 'a']"
wakiishi,"['wa', 'ki', 'ish', 'i']"
hatua,"['ha', 'tu', 'a']"
kutakiwa,"['ku', 'ta', 'ki', 'w', 'a']"
kulia,"['ku', 'li', 'a']"
kutulia,"['ku', 'tu', 'li', 'a']"
kutaka,"['ku', 'ta', 'k', 'a']"
miwani,"['m', 'i', 'wa', 'wa', 'n', 'i']"
kulima,"['ku', 'li', 'm', 'a']"
mazao,"['m', 'az', 'a', 'o']"
viazi,"['vi', 'az', 'i']"
vijana,"['vi', 'ja', 'ja', 'n', 'a']"
ingekuwa,"['i', 'nge', 'ku', 'w', 'a']"
ulikuwa,"['u', 'li', 'ku', 'w', 'a']"
kusafirisha,"['ku', 'safiri', 'safiri', 'sh', 'a']"
wakazi,"['wa', 'ka', 'z', 'i']"
tukakubaliana,"['tu', 'ka', 'kubali', 'kubali', 'an', 'a']"
yataka,"['ya', 'ta', 'k', 'a']"
waumini,"['wa', 'u', 'm', 'i', 'ni']"
unapokuwa,"['u', 'na', 'po', 'ku', 'w', 'a']"
alikuwa,"['a', 'li', 'ku', 'w', 'a']"
hakutakuwa,"['ha', 'ku', 'ta', 'ku', 'w', 'a']"
wanakuwa,"['wa', 'na', 'ku', 'w', 'a']"
wasiwasi,"['wa', 'si', 'wa', 's', 'i']"
mpana,"['m', 'pa', 'n', 'a']"
usiwe,"['u', 'si', 'w', 'e']"
akiwa,"['a', 'ki', 'w', 'a']"
tukubaliane,"['tu', 'kubali', 'kubali', 'an', 'e']"
tuondokane,"['tu', 'ondoka', 'ondoka', 'n', 'e']"
alikosa,"['a', 'li', 'ko', 'ko', 's', 'a']"
kuunawa,"['ku', 'u', 'na', 'na', 'w', 'a']"
kuelewana,"['ku', 'elewa', 'elewa', 'n', 'a']"
wakikosa,"['wa', 'ki', 'ko', 'ko', 's', 'a']"
hamsini,"['ha', 'm', 'si', 'si', 'n', 'i']"
itaumana,"['i', 'ta', 'uma', 'uma', 'n', 'a']"
inaondokana,"['i', 'na', 'ondoka', 'ondoka', 'n', 'a']"
mtama,"['m', 'ta', 'm', 'a']"
ilani,"['i', 'la', 'la', 'n', 'i']"
ukutani,"['u', 'kuta', 'kuta', 'n', 'i']"
wanaoishi,"['wa', 'na', 'o', 'i', 'sh', 'i']"
yatakuwa,"['ya', 'ta', 'ku', 'w', 'a']"
wanaishi,"['wa', 'na', 'i', 'sh', 'i']"
zinaa,"['zi', 'na', 'a']"
wanachama,"['wa', 'na', 'cha', 'cha', 'm', 'a']"
kilaini,"['ki', 'la', 'la', 'i', 'ni']"
asiye,"['a', 'si', 'y', 'e']"
muasi,"['m', 'ua', 'ua', 's', 'i']"
isiwe,"['i', 'si', 'w', 'e']"
msimamo,"['m', 'si', 'si', 'm', 'a', 'mo']"
imani,"['i', 'm', 'an', 'i']"
imekuwa,"['i', 'me', 'ku', 'w', 'a']"
ikutane,"['i', 'kuta', 'kuta', 'n', 'e']"
kupingana,"['ku', 'pinga', 'pinga', 'n', 'a']"
kukataa,"['ku', 'kata', 'kata', 'a']"
kukiwa,"['ku', 'ki', 'w', 'a']"
yamekuwa,"['ya', 'me', 'ku', 'w', 'a']"
vikao,"['vi', 'k', 'a', 'o']"
misimamo,"['m', 'i', 'si', 'si', 'm', 'a', 'mo']"
hakutaka,"['ha', 'ku', 'ta', 'k', 'a']"
mwafaka,"['m', 'wa', 'fa', 'fa', 'k', 'a']"
mlima,"['m', 'li', 'm', 'a']"
kubadilishana,"['ku', 'badili', 'badili', 'shan', 'a']"
ameitaka,"['a', 'me', 'ita', 'ita', 'k', 'a']"
iondokane,"['i', 'ondoka', 'ondoka', 'n', 'e']"
ujambazi,"['u', 'jamba', 'jamba', 'z', 'i']"
kukuza,"['ku', 'ku', 'z', 'a']"
kulaani,"['ku', 'la', 'la', 'an', 'i']"
kijana,"['ki', 'ja', 'ja', 'n', 'a']"
mtume,"['m', 'tu', 'm', 'e']"
kikao,"['ki', 'k', 'a', 'o']"
mkoani,"['m', 'ko', 'ko', 'an', 'i']"
aliyekuwa,"['a', 'li', 'ye', 'ku', 'w', 'a']"
kipaza,"['ki', 'pa', 'z', 'a']"
mchana,"['m', 'cha', 'cha', 'n', 'a']"
hawakosi,"['ha', 'wa', 'ko', 'ko', 's', 'i']"
macho,"['m', 'a', 'cho']"
kisha,"['ki', 'sh', 'a']"
kuaminiwa,"['ku', 'amini', 'amini', 'w', 'a']"
mzizi,"['m', 'zi', 'z', 'i']"
sitaki,"['si', 'ta', 'k', 'i']"
mitaa,"['m', 'ita', 'ita', 'a']"
hautakuwa,"['ha', 'u', 'ta', 'ku', 'w', 'a']"
kukataliwa,"['ku', 'kata', 'kata', 'liw', 'a']"
kuzaliwa,"['kuza', 'kuza', 'liw', 'a']"
inalaani,"['i', 'na', 'la', 'la', 'an', 'i']"
kurudisha,"['ku', 'rudi', 'rudi', 'sh', 'a']"
kukutana,"['ku', 'kuta', 'kuta', 'n', 'a']"
iliyokuwa,"['i', 'li', 'yo', 'ku', 'w', 'a']"
miezi,"['m', 'i', 'ez', 'i']"
kusikia,"['ku', 'si', 'ki', 'a']"
analodaiwa,"['a', 'na', 'lo', 'dai', 'dai', 'w', 'a']"
hakuna,"['ha', 'ku', 'n', 'a']"
kukua,"['ku', 'ku', 'a']"
watakaa,"['wa', 'taka', 'a']"
kisiki,"['ki', 'si', 'k', 'i']"
itakuwa,"['i', 'ta', 'ku', 'w', 'a']"
utakuwa,"['u', 'ta', 'ku', 'w', 'a']"
kuwakosa,"['ku', 'wa', 'ko', 'ko', 's', 'a']"
hatutakuwa,"['ha', 'tu', 'ta', 'ku', 'w', 'a']"
kikosi,"['ki', 'ko', 'ko', 's', 'i']"
kichwani,"['ki', 'chwa', 'chwa', 'n', 'i']"
waume,"['wa', 'u', 'm', 'e']"
anadaiwa,"['a', 'na', 'dai', 'dai', 'w', 'a']"
zinazotokana,"['zi', 'na', 'zo', 'toka', 'toka', 'n', 'a']"
wanaodaiwa,"['wa', 'na', 'o', 'dai', 'dai', 'w', 'a']"
kukaa,"['ku', 'ka', 'a']"
wakiwa,"['wa', 'ki', 'w', 'a']"
waliwaua,"['wa', 'li', 'wa', 'u', 'a']"
hamisi,"['ha', 'm', 'i', 's', 'i']"
aliyokuwa,"['a', 'li', 'yo', 'ku', 'w', 'a']"
msako,"['m', 's', 'a', 'ko']"
vikosi,"['vi', 'ko', 'ko', 's', 'i']"
zikiwa,"['zi', 'ki', 'w', 'a']"
anayedaiwa,"['a', 'na', 'ye', 'dai', 'dai', 'w', 'a']"
halima,"['ha', 'li', 'm', 'a']"
vituka,"['vi', 'tu', 'k', 'a']"
inadaiwa,"['i', 'na', 'dai', 'dai', 'w', 'a']"
utakapo,"['u', 'ta', 'k', 'a', 'po']"
alilokuwa,"['a', 'li', 'lo', 'ku', 'w', 'a']"
akidaiwa,"['a', 'ki', 'dai', 'dai', 'w', 'a']"
mjini,"['m', 'ji', 'n', 'i']"
wanaodhaniwa,"['wa', 'na', 'o', 'dhani', 'dhani', 'w', 'a']"
alikataa,"['a', 'li', 'kata', 'kata', 'a']"
likiwa,"['li', 'ki', 'w', 'a']"
yalikuwa,"['ya', 'li', 'ku', 'w', 'a']"
ulijaa,"['u', 'li', 'ja', 'ja', 'a']"
limekuwa,"['li', 'me', 'ku', 'w', 'a']"
kichama,"['ki', 'cha', 'cha', 'm', 'a']"
kuuza,"['ku', 'u', 'z', 'a']"
hakikuwa,"['ha', 'ki', 'ku', 'w', 'a']"
wasichana,"['wa', 'si', 'cha', 'cha', 'n', 'a']"
mlimani,"['m', 'li', 'm', 'an', 'i']"
kinachodaiwa,"['ki', 'na', 'cho', 'dai', 'dai', 'w', 'a']"
kimetokana,"['ki', 'me', 'toka', 'toka', 'n', 'a']"
hakuwa,"['ha', 'ku', 'w', 'a']"
ikiwamo,"['i', 'ki', 'w', 'a', 'mo']"
umehifadhiwa,"['u', 'me', 'hifadhi', 'hifadhi', 'w', 'a']"
akiishi,"['a', 'ki', 'ish', 'i']"
ilivyokuwa,"['i', 'li', 'vyo', 'ku', 'w', 'a']"
kiume,"['ki', 'u', 'm', 'e']"
walichokuwa,"['wa', 'li', 'cho', 'ku', 'w', 'a']"
kilima,"['ki', 'li', 'm', 'a']"
kimya,"['ki', 'm', 'y', 'a']"
angekuwa,"['a', 'nge', 'ku', 'w', 'a']"
halina,"['ha', 'li', 'n', 'a']"
ikidaiwa,"['i', 'ki', 'dai', 'dai', 'w', 'a']"
hususani,"['husu', 'husu', 's', 'a', 'ni']"
hafai,"['ha', 'fa', 'fa', 'i']"
atakuwa,"['a', 'ta', 'ku', 'w', 'a']"
waziwazi,"['wa', 'zi', 'wa', 'wa', 'z', 'i']"
kukosa,"['ku', 'ko', 'ko', 's', 'a']"
alivyokuwa,"['a', 'li', 'vyo', 'ku', 'w', 'a']"
amekuwa,"['a', 'me', 'ku', 'w', 'a']"
mtazamo,"['m', 'ta', 'z', 'a', 'mo']"
ilipokuwa,"['i', 'li', 'po', 'ku', 'w', 'a']"
kutatua,"['ku', 'ta', 'tu', 'a']"
hatiani,"['ha', 'tia', 'tia', 'n', 'i']"
wanaozaliwa,"['wa', 'na', 'oza', 'oza', 'liw', 'a']"
mikoani,"['m', 'i', 'ko', 'ko', 'an', 'i']"
mwakani,"['m', 'wa', 'k', 'a', 'ni']"
hawana,"['ha', 'wa', 'n', 'a']"
havina,"['ha', 'vi', 'n', 'a']"
vifaa,"['vi', 'fa', 'fa', 'a']"
wameitaka,"['wa', 'me', 'ita', 'ita', 'k', 'a']"
kuwasafirisha,"['ku', 'wa', 'safiri', 'safiri', 'sh', 'a']"
wameungana,"['wa', 'me', 'unga', 'unga', 'n', 'a']"
anaimani,"['a', 'na', 'i', 'm', 'a', 'ni']"
ilitokana,"['i', 'li', 'toka', 'toka', 'n', 'a']"
alama,"['a', 'la', 'la', 'm', 'a']"
kilikuwa,"['ki', 'li', 'ku', 'w', 'a']"
inatokana,"['i', 'na', 'toka', 'toka', 'n', 'a']"
kiula,"['ki', 'ul', 'a']"
yametokana,"['ya', 'me', 'toka', 'toka', 'n', 'a']"
umekuwa,"['u', 'me', 'ku', 'w', 'a']"
kinatokana,"['ki', 'na', 'toka', 'toka', 'n', 'a']"
inakuwa,"['i', 'na', 'ku', 'w', 'a']"
inakua,"['i', 'na', 'ku', 'a']"
mtaani,"['m', 'ta', 'a', 'ni']"
kuwarudisha,"['ku', 'wa', 'rudi', 'rudi', 'sh', 'a']"
mpaka,"['m', 'pa', 'k', 'a']"
walidaiwa,"['wa', 'li', 'dai', 'dai', 'w', 'a']"
amana,"['a', 'm', 'an', 'a']"
linadaiwa,"['li', 'na', 'dai', 'dai', 'w', 'a']"
zilidaiwa,"['zi', 'li', 'dai', 'dai', 'w', 'a']"
zilikuwa,"['zi', 'li', 'ku', 'w', 'a']"
zimechomwa,"['zi', 'me', 'cho', 'm', 'w', 'a']"
vilikuwa,"['vi', 'li', 'ku', 'w', 'a']"
vikiwa,"['vi', 'ki', 'w', 'a']"
wanaumini,"['wa', 'na', 'u', 'm', 'i', 'ni']"
kilichokutana,"['ki', 'li', 'cho', 'kuta', 'kuta', 'n', 'a']"
tunazo,"['tu', 'n', 'a', 'zo']"
kuwasha,"['ku', 'wa', 'sh', 'a']"
hazina,"['ha', 'zi', 'n', 'a']"
ikawa,"['i', 'ka', 'w', 'a']"
yaani,"['ya', 'an', 'i']"
kuisha,"['ku', 'i', 'sh', 'a']"
kuonana,"['ku', 'ona', 'ona', 'n', 'a']"
tumekubaliana,"['tu', 'me', 'kubali', 'kubali', 'an', 'a']"
iwapo,"['i', 'w', 'a', 'po']"
walikubaliana,"['wa', 'li', 'kubali', 'kubali', 'an', 'a']"
zikiwamo,"['zi', 'ki', 'w', 'a', 'mo']"
kikazi,"['ki', 'ka', 'z', 'i']"
wameua,"['wa', 'me', 'u', 'a']"
visiwani,"['vi', 'si', 'wa', 'n', 'i']"
mezani,"['m', 'ez', 'a', 'ni']"
likawa,"['li', 'ka', 'w', 'a']"
hatuna,"['ha', 'tu', 'n', 'a']"
lingekuwa,"['li', 'nge', 'ku', 'w', 'a']"
kinana,"['ki', 'na', 'n', 'a']"
zinazohitajika,"['zi', 'na', 'zo', 'hitaji', 'hitaji', 'k', 'a']"
imetokana,"['i', 'me', 'toka', 'toka', 'n', 'a']"
kuwapo,"['ku', 'w', 'a', 'po']"
ungekuwa,"['u', 'nge', 'ku', 'w', 'a']"
watataka,"['wa', 'tata', 'tata', 'k', 'a']"
halisi,"['ha', 'li', 's', 'i']"
tutakuwa,"['tu', 'ta', 'ku', 'w', 'a']"
hapana,"['ha', 'pa', 'n', 'a']"
zinadaiwa,"['zi', 'na', 'dai', 'dai', 'w', 'a']"
kukubaliana,"['ku', 'kubali', 'kubali', 'an', 'a']"
kumekuwa,"['ku', 'me', 'ku', 'w', 'a']"
mkasa,"['m', 'ka', 's', 'a']"
wanaouza,"['wa', 'na', 'o', 'u', 'z', 'a']"
yanauza,"['ya', 'na', 'u', 'z', 'a']"
wanauza,"['wa', 'na', 'u', 'z', 'a']"
makame,"['m', 'aka', 'aka', 'm', 'e']"
tumekuwa,"['tu', 'me', 'ku', 'w', 'a']"
kutamka,"['ku', 'ta', 'm', 'k', 'a']"
mdaiwa,"['m', 'dai', 'dai', 'w', 'a']"
wadaiwa,"['wa', 'dai', 'dai', 'w', 'a']"
mwanawe,"['m', 'wa', 'na', 'na', 'w', 'e']"
imedaiwa,"['i', 'me', 'dai', 'dai', 'w', 'a']"
yanayodaiwa,"['ya', 'na', 'yo', 'dai', 'dai', 'w', 'a']"
kusaidiana,"['ku', 'saidia', 'saidia', 'n', 'a']"
zimekuwa,"['zi', 'me', 'ku', 'w', 'a']"
hakika,"['ha', 'ki', 'k', 'a']"
alikaa,"['a', 'lika', 'lika', 'a']"
zilizokuwa,"['zi', 'li', 'zo', 'ku', 'w', 'a']"
haiaminiki,"['ha', 'i', 'amini', 'amini', 'k', 'i']"
anaona,"['a', 'na', 'o', 'n', 'a']"
umetokana,"['u', 'me', 'toka', 'toka', 'n', 'a']"
hawataki,"['ha', 'wa', 'ta', 'k', 'i']"
wanayoishi,"['wa', 'na', 'yo', 'i', 'sh', 'i']"
angalia,"['a', 'ngali', 'a']"
wanaona,"['wa', 'na', 'o', 'n', 'a']"
mkazo,"['m', 'k', 'a', 'zo']"
linatokana,"['li', 'na', 'toka', 'toka', 'n', 'a']"
zinaishi,"['zi', 'na', 'i', 'sh', 'i']"
kuaminika,"['ku', 'amini', 'amini', 'k', 'a']"
ushindani,"['u', 'shinda', 'shinda', 'n', 'i']"
kutotaka,"['ku', 'tota', 'tota', 'k', 'a']"
uwazi,"['u', 'wa', 'z', 'i']"
kufurahia,"['ku', 'furahi', 'furahi', 'a']"
akina,"['a', 'ki', 'n', 'a']"
hakina,"['ha', 'ki', 'n', 'a']"
kusikika,"['ku', 'si', 'ki', 'k', 'a']"
watakuwa,"['wa', 'ta', 'ku', 'w', 'a']"
kufuatana,"['ku', 'fuata', 'fuata', 'n', 'a']"
ikiitaka,"['i', 'ki', 'ita', 'ita', 'k', 'a']"
alitua,"['a', 'li', 'tu', 'a']"
zitakazokuwa,"['zi', 'taka', 'zo', 'ku', 'w', 'a']"
yaliyokuwa,"['ya', 'li', 'yo', 'ku', 'w', 'a']"
wanaotaka,"['wa', 'na', 'ota', 'ota', 'k', 'a']"
kubadilisha,"['ku', 'badili', 'badili', 'sh', 'a']"
kusubiria,"['ku', 'subiri', 'subiri', 'a']"
vilivyokuwa,"['vi', 'li', 'vyo', 'ku', 'w', 'a']"
wakaa,"['wa', 'ka', 'a']"
unafaa,"['u', 'na', 'fa', 'fa', 'a']"
imeona,"['i', 'me', 'o', 'n', 'a']"
kimeona,"['ki', 'me', 'o', 'n', 'a']"
wamekubaliana,"['wa', 'me', 'kubali', 'kubali', 'an', 'a']"
aliokuwa,"['a', 'li', 'o', 'ku', 'w', 'a']"
mzima,"['m', 'zi', 'm', 'a']"
upana,"['u', 'pa', 'n', 'a']"
hataki,"['ha', 'ta', 'k', 'i']"
haukuwa,"['ha', 'u', 'ku', 'w', 'a']"
wasiwe,"['wa', 'si', 'w', 'e']"
waliodaiwa,"['wa', 'li', 'o', 'dai', 'dai', 'w', 'a']"
waliokosa,"['wa', 'li', 'o', 'ko', 'ko', 's', 'a']"
kujaza,"['ku', 'ja', 'ja', 'z', 'a']"
kuuzwa,"['ku', 'u', 'zw', 'a']"
mitaani,"['m', 'ita', 'ita', 'an', 'i']"
walikana,"['wa', 'lika', 'lika', 'n', 'a']"
mkalimani,"['m', 'ka', 'li', 'm', 'a', 'ni']"
wawapo,"['wa', 'w', 'a', 'po']"
umeme,"['u', 'me', 'm', 'e']"
kuzidiwa,"['ku', 'zidi', 'zidi', 'w', 'a']"
alidaiwa,"['a', 'li', 'dai', 'dai', 'w', 'a']"
hakutakiwa,"['ha', 'ku', 'ta', 'ki', 'w', 'a']"
alimokuwa,"['a', 'li', 'mo', 'ku', 'w', 'a']"
alilazwa,"['a', 'li', 'la', 'la', 'zw', 'a']"
hazikuwa,"['ha', 'zi', 'ku', 'w', 'a']"
kulazwa,"['ku', 'la', 'la', 'zw', 'a']"
muziki,"['m', 'u', 'zi', 'zi', 'k', 'i']"
ailaze,"['a', 'i', 'la', 'la', 'z', 'e']"
kisiwani,"['ki', 'si', 'wa', 'n', 'i']"
sizini,"['si', 'zi', 'n', 'i']"
kupaka,"['ku', 'pa', 'k', 'a']"
kukalia,"['ku', 'ka', 'li', 'a']"
ukaazi,"['u', 'ka', 'az', 'i']"
nyaya,"['nya', 'nya', 'y', 'a']"
kilichodaiwa,"['ki', 'li', 'cho', 'dai', 'dai', 'w', 'a']"
hauna,"['ha', 'u', 'n', 'a']"
visima,"['vi', 'si', 'm', 'a']"
tusikie,"['tu', 'si', 'ki', 'e']"
hatutaki,"['ha', 'tu', 'ta', 'k', 'i']"
tumieni,"['tu', 'm', 'i', 'e', 'ni']"
zinaendana,"['zi', 'na', 'enda', 'enda', 'n', 'a']"
wanapigana,"['wa', 'na', 'piga', 'piga', 'n', 'a']"
kisima,"['ki', 'si', 'm', 'a']"
kilichokuwa,"['ki', 'li', 'cho', 'ku', 'w', 'a']"
waajiriwa,"['wa', 'ajiri', 'ajiri', 'w', 'a']"
wazima,"['wa', 'zi', 'm', 'a']"
yanatokana,"['ya', 'na', 'toka', 'toka', 'n', 'a']"
amekataa,"['a', 'me', 'kata', 'kata', 'a']"
walipigana,"['wa', 'li', 'piga', 'piga', 'n', 'a']"
kusadikika,"['ku', 'sadiki', 'sadiki', 'k', 'a']"
akikataa,"['a', 'ki', 'kata', 'kata', 'a']"
mitazamo,"['m', 'ita', 'ita', 'z', 'a', 'mo']"
kuhifadhiwa,"['ku', 'hifadhi', 'hifadhi', 'w', 'a']"
mliona,"['m', 'li', 'o', 'n', 'a']"
mkuni,"['m', 'ku', 'n', 'i']"
kuhamaki,"['ku', 'hama', 'hama', 'k', 'i']"
hawakuwa,"['ha', 'wa', 'ku', 'w', 'a']"
kuzima,"['ku', 'zi', 'm', 'a']"
tulisafirisha,"['tu', 'li', 'safiri', 'safiri', 'sh', 'a']"
ulitokana,"['u', 'li', 'toka', 'toka', 'n', 'a']"
alichomwa,"['a', 'li', 'cho', 'm', 'w', 'a']"
wamelazwa,"['wa', 'me', 'la', 'la', 'zw', 'a']"
aliyeuawa,"['a', 'li', 'ye', 'ua', 'ua', 'w', 'a']"
ulaya,"['u', 'la', 'la', 'y', 'a']"
ungeona,"['u', 'nge', 'o', 'n', 'a']"
limejaa,"['li', 'me', 'ja', 'ja', 'a']"
kizuiani,"['ki', 'zuia', 'zuia', 'n', 'i']"
alizokuwa,"['a', 'li', 'zo', 'ku', 'w', 'a']"
pasaka,"['pasa', 'pasa', 'k', 'a']"
kumuamini,"['ku', 'm', 'ua', 'ua', 'm', 'i', 'ni']"
wasirudie,"['wa', 'si', 'rudi', 'rudi', 'e']"
wamuamini,"['wa', 'm', 'ua', 'ua', 'm', 'i', 'ni']"
mwanae,"['m', 'wa', 'na', 'na', 'e']"
kulikoni,"['ku', 'li', 'ko', 'ko', 'n', 'i']"
wamekosa,"['wa', 'me', 'ko', 'ko', 's', 'a']"
watakapo,"['wa', 'ta', 'k', 'a', 'po']"
mkaazi,"['m', 'ka', 'az', 'i']"
inasadikiwa,"['i', 'na', 'sadiki', 'sadiki', 'w', 'a']"
ilikutana,"['i', 'li', 'kuta', 'kuta', 'n', 'a']"
kifaa,"['ki', 'fa', 'fa', 'a']"
wanane,"['wa', 'na', 'n', 'e']"
ilikubalika,"['i', 'li', 'kubali', 'kubali', 'k', 'a']"
aisha,"['a', 'i', 'sh', 'a']"
tuliyokuwa,"['tu', 'li', 'yo', 'ku', 'w', 'a']"
uliokuwa,"['u', 'li', 'o', 'ku', 'w', 'a']"
kipawa,"['ki', 'pa', 'w', 'a']"
tunao,"['tu', 'n', 'a', 'o']"
wamekutana,"['wa', 'me', 'kuta', 'kuta', 'n', 'a']"
wakawa,"['wa', 'ka', 'w', 'a']"
unatokana,"['u', 'na', 'toka', 'toka', 'n', 'a']"
kuachana,"['ku', 'acha', 'acha', 'n', 'a']"
wanavyofikiria,"['wa', 'na', 'vyo', 'fikiri', 'fikiri', 'a']"
hamasa,"['hama', 'hama', 's', 'a']"
lililokuwa,"['li', 'li', 'lo', 'ku', 'w', 'a']"
kisiwa,"['ki', 'si', 'w', 'a']"
hawakutaka,"['ha', 'wa', 'kuta', 'kuta', 'k', 'a']"
kiliitaka,"['ki', 'li', 'ita', 'ita', 'k', 'a']"
mnaona,"['m', 'na', 'o', 'n', 'a']"
anakubaliana,"['a', 'na', 'kubali', 'kubali', 'an', 'a']"
hawatakiwi,"['ha', 'wa', 'ta', 'ki', 'w', 'i']"
yanayotokana,"['ya', 'na', 'yo', 'toka', 'toka', 'n', 'a']"
kuzama,"['kuza', 'kuza', 'm', 'a']"
akiwamo,"['a', 'ki', 'w', 'a', 'mo']"
