kusini,"['ku', 'si', 'n', 'i']"
tutakapokutana,"['tu', 'taka', 'po', 'kuta', 'kuta', 'n', 'a']"
kiapo,"['ki', 'a', 'po']"
haitakiwi,"['ha', 'i', 'ta', 'ki', 'w', 'i']"
wanayo,"['wa', 'n', 'a', 'yo']"
linahitajika,"['li', 'na', 'hitaji', 'hitaji', 'k', 'a']"
kuwaka,"['ku', 'wa', 'k', 'a']"
kuuzima,"['ku', 'u', 'zi', 'zi', 'm', 'a']"
amelazwa,"['a', 'me', 'la', 'la', 'zw', 'a']"
mipaka,"['m', 'i', 'pa', 'pa', 'k', 'a']"
kutua,"['ku', 'tu', 'a']"
anayekubalika,"['a', 'na', 'ye', 'kubali', 'kubali', 'k', 'a']"
visiwa,"['vi', 'si', 'w', 'a']"
anakubalika,"['a', 'na', 'kubali', 'kubali', 'k', 'a']"
zilipokuwa,"['zi', 'li', 'po', 'ku', 'w', 'a']"
itakapokuwa,"['i', 'taka', 'po', 'ku', 'w', 'a']"
inayolima,"['i', 'na', 'yo', 'li', 'm', 'a']"
ukame,"['u', 'ka', 'm', 'e']"
vimekuwa,"['vi', 'me', 'ku', 'w', 'a']"
vinadaiwa,"['vi', 'na', 'dai', 'dai', 'w', 'a']"
kuuwa,"['ku', 'u', 'w', 'a']"
akana,"['a', 'ka', 'n', 'a']"
kuuawa,"['ku', 'ua', 'ua', 'w', 'a']"
kushikana,"['ku', 'shika', 'shika', 'n', 'a']"
alipokutana,"['a', 'li', 'po', 'kuta', 'kuta', 'n', 'a']"
walipokuwa,"['wa', 'li', 'po', 'ku', 'w', 'a']"
wanawania,"['wa', 'na', 'wa', 'ni', 'ni', 'a']"
kuhitajika,"['ku', 'hitaji', 'hitaji', 'k', 'a']"
ukiwa,"['u', 'ki', 'w', 'a']"
kikiwa,"['ki', 'ki', 'w', 'a']"
kichangani,"['ki', 'changa', 'changa', 'n', 'i']"
kuzikana,"['ku', 'zika', 'zika', 'n', 'a']"
kuuana,"['ku', 'u', 'an', 'a']"
kuungana,"['ku', 'unga', 'unga', 'n', 'a']"
wameona,"['wa', 'me', 'o', 'n', 'a']"
ilikubaliana,"['i', 'li', 'kubali', 'kubali', 'an', 'a']"
kushindana,"['ku', 'shinda', 'shinda', 'n', 'a']"
kuwaua,"['ku', 'wa', 'u', 'a']"
fikiria,"['fikiri', 'fikiri', 'a']"
kinyama,"['ki', 'nya', 'nya', 'm', 'a']"
mnyama,"['m', 'nya', 'nya', 'm', 'a']"
kunapokuwa,"['ku', 'na', 'po', 'ku', 'w', 'a']"
wanakubaliana,"['wa', 'na', 'kubali', 'kubali', 'an', 'a']"
auawe,"['a', 'ua', 'ua', 'w', 'e']"
takataka,"['takata', 'takata', 'k', 'a']"
kuzika,"['ku', 'zi', 'k', 'a']"
hazifai,"['ha', 'zi', 'fa', 'fa', 'i']"
kukaliwa,"['ku', 'ka', 'li', 'w', 'a']"
ataka,"['a', 'ta', 'k', 'a']"
kiini,"['ki', 'i', 'n', 'i']"
yaliyokubaliwa,"['ya', 'li', 'yo', 'kubali', 'kubali', 'w', 'a']"
ilidaiwa,"['i', 'li', 'dai', 'dai', 'w', 'a']"
vitataka,"['vi', 'tata', 'tata', 'k', 'a']"
wanaoajiriwa,"['wa', 'na', 'o', 'ajiri', 'ajiri', 'w', 'a']"
wakiwamo,"['wa', 'ki', 'w', 'a', 'mo']"
akilia,"['a', 'ki', 'li', 'a']"
tunakosa,"['tu', 'na', 'ko', 'ko', 's', 'a']"
walie,"['wa', 'li', 'e']"
aliyekosa,"['a', 'li', 'ye', 'ko', 'ko', 's', 'a']"
vilivyosalia,"['vi', 'li', 'vyo', 'sali', 'sali', 'a']"
zinahitajika,"['zi', 'na', 'hitaji', 'hitaji', 'k', 'a']"
wanapokutana,"['wa', 'na', 'po', 'kuta', 'kuta', 'n', 'a']"
aliyelazwa,"['a', 'li', 'ye', 'la', 'la', 'zw', 'a']"
kikawa,"['ki', 'ka', 'w', 'a']"
kumwamini,"['ku', 'm', 'wa', 'wa', 'm', 'i', 'ni']"
kinachosubiriwa,"['ki', 'na', 'cho', 'subiri', 'subiri', 'w', 'a']"
utakavyokuwa,"['u', 'taka', 'vyo', 'ku', 'w', 'a']"
wakutane,"['wa', 'kuta', 'kuta', 'n', 'e']"
unaitaka,"['u', 'na', 'ita', 'ita', 'k', 'a']"
kutakuwa,"['ku', 'ta', 'ku', 'w', 'a']"
yanakuwa,"['ya', 'na', 'ku', 'w', 'a']"
yanaona,"['ya', 'na', 'o', 'n', 'a']"
atakapokua,"['a', 'taka', 'po', 'ku', 'a']"
yanarudia,"['ya', 'na', 'rudi', 'rudi', 'a']"
wanamoishi,"['wa', 'na', 'mo', 'mo', 'ish', 'i']"
kuvisafirisha,"['ku', 'vi', 'safiri', 'safiri', 'sh', 'a']"
yakiwa,"['ya', 'ki', 'w', 'a']"
msichana,"['m', 'si', 'cha', 'cha', 'n', 'a']"
walizokuwa,"['wa', 'li', 'zo', 'ku', 'w', 'a']"
akawa,"['a', 'ka', 'w', 'a']"
hayakuwa,"['ha', 'ya', 'ku', 'w', 'a']"
iliuza,"['i', 'li', 'u', 'z', 'a']"
vikiwamo,"['vi', 'ki', 'w', 'a', 'mo']"
kuachiana,"['ku', 'achia', 'achia', 'n', 'a']"
kinakubalika,"['ki', 'na', 'kubali', 'kubali', 'k', 'a']"
iliyokutana,"['i', 'li', 'yo', 'kuta', 'kuta', 'n', 'a']"
yalipokuwa,"['ya', 'li', 'po', 'ku', 'w', 'a']"
minazi,"['m', 'i', 'na', 'na', 'z', 'i']"
migombani,"['m', 'i', 'gomba', 'gomba', 'n', 'i']"
kiwalani,"['ki', 'wa', 'la', 'la', 'n', 'i']"
halikuwa,"['ha', 'li', 'ku', 'w', 'a']"
kitakuwa,"['ki', 'ta', 'ku', 'w', 'a']"
kichaka,"['ki', 'cha', 'cha', 'k', 'a']"
mjane,"['m', 'ja', 'ja', 'n', 'e']"
aliamini,"['a', 'lia', 'lia', 'm', 'i', 'ni']"
wataungana,"['wa', 'ta', 'unga', 'unga', 'n', 'a']"
kujifurahisha,"['ku', 'ji', 'furahi', 'furahi', 'sh', 'a']"
yatakosa,"['ya', 'ta', 'ko', 'ko', 's', 'a']"
kuitaka,"['ku', 'ita', 'ita', 'k', 'a']"
aliongozana,"['a', 'li', 'ongoza', 'ongoza', 'n', 'a']"
alibadilisha,"['a', 'li', 'badili', 'badili', 'sh', 'a']"
tumechoka,"['tu', 'me', 'cho', 'k', 'a']"
kilaza,"['ki', 'la', 'la', 'z', 'a']"
walishikana,"['wa', 'li', 'shika', 'shika', 'n', 'a']"
waonane,"['wa', 'ona', 'ona', 'n', 'e']"
adaiwa,"['a', 'dai', 'dai', 'w', 'a']"
mnamo,"['m', 'n', 'a', 'mo']"
asilia,"['a', 'si', 'li', 'a']"
kudaiwa,"['ku', 'dai', 'dai', 'w', 'a']"
watakaokuwa,"['wa', 'taka', 'o', 'ku', 'w', 'a']"
uzima,"['u', 'zi', 'm', 'a']"
kuuziana,"['ku', 'u', 'zi', 'zi', 'an', 'a']"
mnazi,"['m', 'na', 'z', 'i']"
mosha,"['mo', 'mo', 'sh', 'a']"
alikana,"['a', 'lika', 'lika', 'n', 'a']"
zilizotokana,"['zi', 'li', 'zo', 'toka', 'toka', 'n', 'a']"
inayotokana,"['i', 'na', 'yo', 'toka', 'toka', 'n', 'a']"
unaotokana,"['u', 'na', 'o', 'toka', 'toka', 'n', 'a']"
hawaaminiani,"['ha', 'wa', 'amini', 'amini', 'an', 'i']"
kuigawa,"['ku', 'iga', 'iga', 'w', 'a']"
zinatokana,"['zi', 'na', 'toka', 'toka', 'n', 'a']"
ameajiriwa,"['a', 'me', 'ajiri', 'ajiri', 'w', 'a']"
kufanyiana,"['ku', 'fanyia', 'fanyia', 'n', 'a']"
kukubalika,"['ku', 'kubali', 'kubali', 'k', 'a']"
kukodisha,"['ku', 'kodi', 'kodi', 'sh', 'a']"
wanaohitajika,"['wa', 'na', 'o', 'hitaji', 'hitaji', 'k', 'a']"
iliona,"['i', 'li', 'o', 'n', 'a']"
vitokanavyo,"['vi', 'toka', 'toka', 'n', 'a', 'vyo']"
waliitaka,"['wa', 'li', 'ita', 'ita', 'k', 'a']"
ukiwamo,"['u', 'ki', 'w', 'a', 'mo']"
kubadilika,"['ku', 'badili', 'badili', 'k', 'a']"
wanachotaka,"['wa', 'na', 'chota', 'chota', 'k', 'a']"
kuwania,"['ku', 'wa', 'ni', 'ni', 'a']"
haitaki,"['ha', 'i', 'ta', 'k', 'i']"
anaungana,"['a', 'na', 'unga', 'unga', 'n', 'a']"
wanaume,"['wa', 'na', 'u', 'm', 'e']"
kulewa,"['ku', 'lew', 'a']"
ipasavyo,"['i', 'pa', 's', 'a', 'vyo']"
hawatakuwa,"['ha', 'wa', 'ta', 'ku', 'w', 'a']"
kulirudisha,"['ku', 'li', 'rudi', 'rudi', 'sh', 'a']"
walikaa,"['wa', 'lika', 'lika', 'a']"
wakaona,"['wa', 'ka', 'o', 'n', 'a']"
wazawa,"['waza', 'waza', 'w', 'a']"
tunachotaka,"['tu', 'na', 'chota', 'chota', 'k', 'a']"
wakidaiwa,"['wa', 'ki', 'dai', 'dai', 'w', 'a']"
wanaosadikiwa,"['wa', 'na', 'o', 'sadiki', 'sadiki', 'w', 'a']"
tulipokuwa,"['tu', 'li', 'po', 'ku', 'w', 'a']"
tungekuwa,"['tu', 'nge', 'ku', 'w', 'a']"
wanaofikiria,"['wa', 'na', 'o', 'fikiri', 'fikiri', 'a']"
wangekuwa,"['wa', 'nge', 'ku', 'w', 'a']"
zinauzwa,"['zi', 'na', 'u', 'zw', 'a']"
tunaona,"['tu', 'na', 'o', 'n', 'a']"
walioitaka,"['wa', 'li', 'o', 'ita', 'ita', 'k', 'a']"
uliojaa,"['u', 'li', 'o', 'ja', 'ja', 'a']"
kukiuka,"['ku', 'ki', 'uk', 'a']"
aliyekataa,"['a', 'li', 'ye', 'kata', 'kata', 'a']"
wanakiuka,"['wa', 'na', 'ki', 'uk', 'a']"
waliona,"['wa', 'li', 'o', 'n', 'a']"
mwake,"['m', 'wa', 'k', 'e']"
hayatakuwa,"['ha', 'ya', 'ta', 'ku', 'w', 'a']"
aliitaka,"['a', 'li', 'ita', 'ita', 'k', 'a']"
kutatuliwa,"['ku', 'ta', 'tu', 'liw', 'a']"
inakosa,"['i', 'na', 'ko', 'ko', 's', 'a']"
unaona,"['u', 'na', 'o', 'n', 'a']"
iliyojaa,"['i', 'li', 'yo', 'ja', 'ja', 'a']"
yaliyotokana,"['ya', 'li', 'yo', 'toka', 'toka', 'n', 'a']"
akaona,"['a', 'ka', 'o', 'n', 'a']"
watavaana,"['wa', 'ta', 'vaa', 'vaa', 'n', 'a']"
alimkosa,"['a', 'li', 'm', 'ko', 'ko', 's', 'a']"
mwana,"['m', 'wa', 'n', 'a']"
anakuwa,"['a', 'na', 'ku', 'w', 'a']"
mizizi,"['m', 'i', 'zi', 'zi', 'z', 'i']"
yatokanayo,"['ya', 'toka', 'toka', 'n', 'a', 'yo']"
ziuzwe,"['zi', 'u', 'zw', 'e']"
zitakazouzwa,"['zi', 'taka', 'zo', 'u', 'zw', 'a']"
zitauzwa,"['zi', 'ta', 'u', 'zw', 'a']"
waliokaa,"['wa', 'li', 'oka', 'oka', 'a']"
kuishia,"['ku', 'ishi', 'ishi', 'a']"
wamejaa,"['wa', 'me', 'ja', 'ja', 'a']"
wakae,"['wa', 'ka', 'e']"
walivyokuwa,"['wa', 'li', 'vyo', 'ku', 'w', 'a']"
kutokaa,"['ku', 'toka', 'toka', 'a']"
kuaminiana,"['ku', 'amini', 'amini', 'an', 'a']"
ilikuwapo,"['i', 'li', 'ku', 'w', 'a', 'po']"
haitaishia,"['ha', 'i', 'ta', 'ishi', 'ishi', 'a']"
tunaye,"['tu', 'na', 'y', 'e']"
mwasisi,"['m', 'wa', 'si', 'si', 's', 'i']"
kuishiwa,"['ku', 'ishi', 'ishi', 'w', 'a']"
uliotokana,"['u', 'li', 'o', 'toka', 'toka', 'n', 'a']"
kichaa,"['ki', 'cha', 'cha', 'a']"
nyama,"['nya', 'nya', 'm', 'a']"
mipakani,"['m', 'i', 'pa', 'pa', 'k', 'a', 'ni']"
kunahitajika,"['ku', 'na', 'hitaji', 'hitaji', 'k', 'a']"
linakuwa,"['li', 'na', 'ku', 'w', 'a']"
mushi,"['m', 'u', 'sh', 'i']"
hakubaliani,"['ha', 'kubali', 'kubali', 'an', 'i']"
ikisubiriwa,"['i', 'ki', 'subiri', 'subiri', 'w', 'a']"
iliitaka,"['i', 'li', 'ita', 'ita', 'k', 'a']"
kukubaliwa,"['ku', 'kubali', 'kubali', 'w', 'a']"
kurudia,"['ku', 'rudi', 'rudi', 'a']"
inakubaliana,"['i', 'na', 'kubali', 'kubali', 'an', 'a']"
inauzwa,"['i', 'na', 'u', 'zw', 'a']"
inayodaiwa,"['i', 'na', 'yo', 'dai', 'dai', 'w', 'a']"
kubakia,"['ku', 'baki', 'baki', 'a']"
walilazwa,"['wa', 'li', 'la', 'la', 'zw', 'a']"
yanayokiuka,"['ya', 'na', 'yo', 'ki', 'uk', 'a']"
tumeona,"['tu', 'me', 'o', 'n', 'a']"
kiinimacho,"['ki', 'i', 'ni', 'ni', 'm', 'a', 'cho']"
imekiuka,"['i', 'me', 'ki', 'uk', 'a']"
waliotaka,"['wa', 'li', 'ota', 'ota', 'k', 'a']"
mshindani,"['m', 'shinda', 'shinda', 'n', 'i']"
haitakuwa,"['ha', 'i', 'ta', 'ku', 'w', 'a']"
iishe,"['i', 'i', 'sh', 'e']"
washindani,"['wa', 'shinda', 'shinda', 'n', 'i']"
waliouawa,"['wa', 'li', 'o', 'ua', 'ua', 'w', 'a']"
kujikosha,"['ku', 'ji', 'ko', 'ko', 'sh', 'a']"
walikiuka,"['wa', 'li', 'ki', 'uk', 'a']"
anayo,"['a', 'n', 'a', 'yo']"
atakayekuwa,"['a', 'taka', 'ye', 'ku', 'w', 'a']"
vinavyotokana,"['vi', 'na', 'vyo', 'toka', 'toka', 'n', 'a']"
machoni,"['m', 'a', 'cho', 'ni']"
akakutana,"['a', 'ka', 'kuta', 'kuta', 'n', 'a']"
kumweka,"['ku', 'mw', 'ek', 'a']"
akaangalie,"['a', 'kaanga', 'kaanga', 'li', 'e']"
imekataa,"['i', 'me', 'kata', 'kata', 'a']"
wamekataa,"['wa', 'me', 'kata', 'kata', 'a']"
vinavyoishi,"['vi', 'na', 'vyo', 'i', 'sh', 'i']"
wanasadikiwa,"['wa', 'na', 'sadiki', 'sadiki', 'w', 'a']"
tunayo,"['tu', 'n', 'a', 'yo']"
watusi,"['wa', 'tu', 's', 'i']"
alikubaliana,"['a', 'li', 'kubali', 'kubali', 'an', 'a']"
alizidiwa,"['a', 'li', 'zidi', 'zidi', 'w', 'a']"
hapakuwa,"['ha', 'pa', 'ku', 'w', 'a']"
ujana,"['u', 'ja', 'ja', 'n', 'a']"
wanaoaminika,"['wa', 'na', 'o', 'amini', 'amini', 'k', 'a']"
wakakutana,"['wa', 'ka', 'kuta', 'kuta', 'n', 'a']"
tunalia,"['tu', 'na', 'li', 'a']"
waondokane,"['wa', 'ondoka', 'ondoka', 'n', 'e']"
wataonana,"['wa', 'ta', 'ona', 'ona', 'n', 'a']"
wanaolima,"['wa', 'na', 'o', 'li', 'm', 'a']"
kugongana,"['ku', 'gonga', 'gonga', 'n', 'a']"
alipoishiwa,"['a', 'li', 'po', 'ishi', 'ishi', 'w', 'a']"
inapokuwa,"['i', 'na', 'po', 'ku', 'w', 'a']"
anapokuwa,"['a', 'na', 'po', 'ku', 'w', 'a']"
muwazi,"['m', 'u', 'wa', 'wa', 'z', 'i']"
kuuziwa,"['ku', 'u', 'zi', 'zi', 'w', 'a']"
alikutana,"['a', 'li', 'kuta', 'kuta', 'n', 'a']"
inavyodaiwa,"['i', 'na', 'vyo', 'dai', 'dai', 'w', 'a']"
zinazo,"['zi', 'n', 'a', 'zo']"
unachotaka,"['u', 'na', 'chota', 'chota', 'k', 'a']"
liligongana,"['li', 'li', 'gonga', 'gonga', 'n', 'a']"
kuondokana,"['ku', 'ondoka', 'ondoka', 'n', 'a']"
yanauzwa,"['ya', 'na', 'u', 'zw', 'a']"
linauzwa,"['li', 'na', 'u', 'zw', 'a']"
liliuzwa,"['li', 'li', 'u', 'zw', 'a']"
kizamani,"['ki', 'zama', 'zama', 'n', 'i']"
hayana,"['ha', 'ya', 'n', 'a']"
aliye,"['a', 'li', 'y', 'e']"
zikiisha,"['zi', 'ki', 'ish', 'a']"
kuoana,"['ku', 'oa', 'oa', 'n', 'a']"
asiwe,"['a', 'si', 'w', 'e']"
waliokulia,"['wa', 'li', 'o', 'ku', 'li', 'a']"
walikataa,"['wa', 'li', 'kata', 'kata', 'a']"
wanaofaa,"['wa', 'na', 'o', 'fa', 'fa', 'a']"
mpaya,"['m', 'pa', 'y', 'a']"
aliona,"['a', 'li', 'o', 'n', 'a']"
uliona,"['u', 'li', 'o', 'n', 'a']"
mshtakiwa,"['m', 'shtaki', 'shtaki', 'w', 'a']"
zitakapoisha,"['zi', 'taka', 'po', 'i', 'sh', 'a']"
wakubaliane,"['wa', 'kubali', 'kubali', 'an', 'e']"
kizani,"['ki', 'z', 'a', 'ni']"
lilitokana,"['li', 'li', 'toka', 'toka', 'n', 'a']"
kuviziana,"['ku', 'vi', 'zi', 'zi', 'an', 'a']"
mchawi,"['m', 'cha', 'cha', 'w', 'i']"
haikuishia,"['ha', 'i', 'ku', 'ishi', 'ishi', 'a']"
kunawa,"['ku', 'na', 'w', 'a']"
haitabadilisha,"['ha', 'i', 'ta', 'badili', 'badili', 'sh', 'a']"
kumzika,"['ku', 'm', 'zi', 'zi', 'k', 'a']"
inayo,"['i', 'n', 'a', 'yo']"
unadaiwa,"['u', 'na', 'dai', 'dai', 'w', 'a']"
angalieni,"['a', 'ngali', 'e', 'ni']"
akiitaka,"['a', 'ki', 'ita', 'ita', 'k', 'a']"
hayaendani,"['ha', 'ya', 'enda', 'enda', 'n', 'i']"
waishi,"['wa', 'i', 'sh', 'i']"
palikuwa,"['pa', 'li', 'ku', 'w', 'a']"
kuzirudisha,"['ku', 'zi', 'rudi', 'rudi', 'sh', 'a']"
liwalo,"['li', 'w', 'a', 'lo']"
mombasa,"['m', 'omba', 'omba', 's', 'a']"
kufikiria,"['ku', 'fikiri', 'fikiri', 'a']"
kinamna,"['ki', 'na', 'm', 'n', 'a']"
vinavyohitajika,"['vi', 'na', 'vyo', 'hitaji', 'hitaji', 'k', 'a']"
anahitajika,"['a', 'na', 'hitaji', 'hitaji', 'k', 'a']"
tukae,"['tu', 'ka', 'e']"
ameuawa,"['a', 'me', 'ua', 'ua', 'w', 'a']"
sikuamini,"['si', 'kua', 'kua', 'm', 'i', 'ni']"
ulimi,"['u', 'li', 'm', 'i']"
inakutana,"['i', 'na', 'kuta', 'kuta', 'n', 'a']"
italia,"['i', 'ta', 'li', 'a']"
alichokuwa,"['a', 'li', 'cho', 'ku', 'w', 'a']"
utaisha,"['u', 'ta', 'i', 'sh', 'a']"
inavyodhaniwa,"['i', 'na', 'vyo', 'dhani', 'dhani', 'w', 'a']"
wataajiriwa,"['wa', 'ta', 'ajiri', 'ajiri', 'w', 'a']"
badilika,"['badili', 'badili', 'k', 'a']"
kuvizia,"['ku', 'vi', 'zi', 'zi', 'a']"
kuzaa,"['kuza', 'kuza', 'a']"
waliyokuwa,"['wa', 'li', 'yo', 'ku', 'w', 'a']"
hatukuwa,"['ha', 'tu', 'ku', 'w', 'a']"
yakawa,"['ya', 'ka', 'w', 'a']"
tunakutana,"['tu', 'na', 'kuta', 'kuta', 'n', 'a']"
kushawishika,"['ku', 'shawishi', 'shawishi', 'k', 'a']"
silivia,"['si', 'li', 'vi', 'vi', 'a']"
anayesadikiwa,"['a', 'na', 'ye', 'sadiki', 'sadiki', 'w', 'a']"
aishi,"['a', 'i', 'sh', 'i']"
anayeishi,"['a', 'na', 'ye', 'i', 'sh', 'i']"
inahitajika,"['i', 'na', 'hitaji', 'hitaji', 'k', 'a']"
yasiwe,"['ya', 'si', 'w', 'e']"
waliolazwa,"['wa', 'li', 'o', 'la', 'la', 'zw', 'a']"
wataka,"['wa', 'ta', 'k', 'a']"
kulindana,"['ku', 'linda', 'linda', 'n', 'a']"
kumkatalia,"['ku', 'm', 'kata', 'kata', 'li', 'a']"
ikubalike,"['i', 'kubali', 'kubali', 'k', 'e']"
kiushindani,"['ki', 'u', 'shinda', 'shinda', 'n', 'i']"
kuuzika,"['ku', 'u', 'zi', 'zi', 'k', 'a']"
imehifadhiwa,"['i', 'me', 'hifadhi', 'hifadhi', 'w', 'a']"
jamani,"['ja', 'ja', 'm', 'a', 'ni']"
wapania,"['wa', 'pa', 'ni', 'ni', 'a']"
litakuwa,"['li', 'ta', 'ku', 'w', 'a']"
wanazoishi,"['wa', 'na', 'zo', 'i', 'sh', 'i']"
anaishi,"['a', 'na', 'i', 'sh', 'i']"
watume,"['wa', 'tu', 'm', 'e']"
yalidaiwa,"['ya', 'li', 'dai', 'dai', 'w', 'a']"
umeona,"['u', 'me', 'o', 'n', 'a']"
utakubaliana,"['u', 'ta', 'kubali', 'kubali', 'an', 'a']"
iliyotokana,"['i', 'li', 'yo', 'toka', 'toka', 'n', 'a']"
kupaki,"['ku', 'pa', 'k', 'i']"
kufurahisha,"['ku', 'furahi', 'furahi', 'sh', 'a']"
yadaiwa,"['ya', 'dai', 'dai', 'w', 'a']"
atataka,"['a', 'tata', 'tata', 'k', 'a']"
utatokana,"['u', 'ta', 'toka', 'toka', 'n', 'a']"
auaye,"['a', 'ua', 'ua', 'y', 'e']"
wauawe,"['wa', 'ua', 'ua', 'w', 'e']"
kimkoa,"['ki', 'm', 'ko', 'ko', 'a']"
aliuawa,"['a', 'li', 'ua', 'ua', 'w', 'a']"
wanaoua,"['wa', 'na', 'o', 'u', 'a']"
kuwanasa,"['ku', 'wa', 'na', 'na', 's', 'a']"
walilaani,"['wa', 'li', 'la', 'la', 'an', 'i']"
tuungane,"['tu', 'unga', 'unga', 'n', 'e']"
itatua,"['i', 'ta', 'tu', 'a']"
itakayokuwa,"['i', 'taka', 'yo', 'ku', 'w', 'a']"
vitakuwa,"['vi', 'ta', 'ku', 'w', 'a']"
zimeisha,"['zi', 'me', 'i', 'sh', 'a']"
kutawaliwa,"['ku', 'ta', 'wa', 'liw', 'a']"
linalomikiwa,"['li', 'na', 'lo', 'm', 'ikiw', 'a']"
linalosadikiwa,"['li', 'na', 'lo', 'sadiki', 'sadiki', 'w', 'a']"
unaohitajika,"['u', 'na', 'o', 'hitaji', 'hitaji', 'k', 'a']"
zitakuwa,"['zi', 'ta', 'ku', 'w', 'a']"
kupigana,"['ku', 'piga', 'piga', 'n', 'a']"
akuwa,"['a', 'ku', 'w', 'a']"
kutwangana,"['ku', 'twanga', 'twanga', 'n', 'a']"
linalodaiwa,"['li', 'na', 'lo', 'dai', 'dai', 'w', 'a']"
kuliona,"['ku', 'li', 'o', 'n', 'a']"
kulaza,"['ku', 'la', 'la', 'z', 'a']"
kumlaza,"['ku', 'm', 'la', 'la', 'z', 'a']"
zilizojaa,"['zi', 'li', 'zo', 'ja', 'ja', 'a']"
wamedaiwa,"['wa', 'me', 'dai', 'dai', 'w', 'a']"
kunatokana,"['ku', 'na', 'toka', 'toka', 'n', 'a']"
aliungana,"['a', 'li', 'unga', 'unga', 'n', 'a']"
hatakiwi,"['ha', 'ta', 'ki', 'w', 'i']"
unahitajika,"['u', 'na', 'hitaji', 'hitaji', 'k', 'a']"
